Latitude,Longitude,Altitude,Name of the Pond,Site location name,Site ID,pH,Temperature,Electrical Conductivity (EC),Total Dissolved Solids (TDS),Dissolved Oxygen (DO),,,
27.6762294,85.4381186,1293.900024,Kamalpokhari ,Kamalbinayak ,PPKM1,11.5,21.9,57,33,12.5,,,
27.6758439,85.4369955,1293.800049,Lamgal pukhu,Kamalbinayak ,PPLP2,9.56,24.1,217,107,7.8,,,
27.6754481,85.4353416,1281.950684,Kwathandou pukhu,Kwathandou,PPKP3,9.23,20.9,288,144,7.3,,,
27.6767964,85.4352295,1294.599976,Gwanga pukhu,Muldhoka,PPGP4,11.6,17.6,178,89,7.1,,,
27.6757215,85.4339015,1291.099976,Bekhal Pukhu,Bekhal,PPBP5,9.03,20.6,479,242,12.4,,,
27.674123,85.4334466,1289.599976,Naag pokhari ,Naagpokhari,PPNP6,8.14,20.1,642,319,5,,,
27.6738863,85.4345524,1285.400024,Yatachhen pukhu,Yatachhen,PPYP7,11.5,19.7,275,137,11.9,,,
27.6745452,85.4378867,1285.700073,Garud kunda,Garunkunda,PPGP8,8.82,18.7,131,65,4.6,,,
27.6734012,85.4384632,1285.400024,Chayamasigh pukhu,Chayamasigh ,PPCP9,,,,,,,,
27.6719896,85.4366455,1285.5,Jella pukhu,Jella,PPJP10,7.77,16.5,549,273,7.5,,,
27.6714323,85.4348296,1280,Khacha Pukhu,Jella,PPKP11,9.33,17,1045,525,7.8,,,
27.6722314,85.4144361,1272.059692,Nhu pukhu,Sainik Awasiya ,PPNP1,9,20.2,226,114,8.3,,,
27.6720347,85.4195814,1280.771484,Siddha Pokhari ,Siddha Pokhari ,PPSP2,10.7,21.7,110,55,9.4,,,
27.6712259,85.421632,1283,Bhajya pukhu,BMC Campus,PPBP3,8.3,24.1,391,195,4.4,,,
27.6728509,85.4232363,1291,Na pukhu,Itachhen,PPNP4,11.4,22.5,188,94,9,,,
27.6712937,85.4248289,1299.599976,Tekha pukhu,Bharwacho,PPTP5,10.1,21.8,183,91,7.4,,,
27.6699337,85.4253778,1296.200073,Degamana pukhu,Bansagopal,PPMK6,10,18.2,586,293,9.1,,,
27.6762294,85.4381186,1293.9000244140625,Kamalpokhari ,Kamalbinayak ,PPKM1,11.5,21.9,57.0,33.0,12.5,,,
27.6758439,85.4369955,1293.800048828125,Lamgal pukhu,Kamalbinayak ,PPLP2,9.56,24.1,217.0,107.0,7.8,,,
27.6754481,85.4353416,1281.95068359375,Kwathandou pukhu,Kwathandou,PPKP3,9.23,20.9,288.0,144.0,7.3,,,
27.6767964,85.4352295,1294.5999755859375,Gwanga pukhu,Muldhoka,PPGP4,11.6,17.6,178.0,89.0,7.1,,,
27.6757215,85.4339015,1291.0999755859375,Bekhal Pukhu,Bekhal,PPBP5,9.03,20.6,479.0,242.0,12.4,,,
27.674123,85.4334466,1289.5999755859375,Naag pokhari ,Naagpokhari,PPNP6,8.14,20.1,642.0,319.0,5.0,,,
27.6738863,85.4345524,1285.4000244140625,Yatachhen pukhu,Yatachhen,PPYP7,11.5,19.7,275.0,137.0,11.9,,,
27.6745452,85.4378867,1285.7000732421875,Garud kunda,Garunkunda,PPGP8,8.82,18.7,131.0,65.0,4.6,,,
27.6734012,85.4384632,1285.4000244140625,Chayamasigh pukhu,Chayamasigh ,PPCP9,,,,,,,,
27.6719896,85.4366455,1285.5,Jella pukhu,Jella,PPJP10,7.77,16.5,549.0,273.0,7.5,,,
27.6714323,85.4348296,1280.0,Khacha Pukhu,Jella,PPKP11,9.33,17.0,1045.0,525.0,7.8,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
